"Style","Status","Source","Output","CandidateCount"
"FT1352-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1352-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1352-30.jpg","1"
"FT1353-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1353-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1353-30.jpg","1"
"FT1354-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1354-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1354-30.jpg","1"
"FT1355-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1355-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1355-30.jpg","1"
"FT1356-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1356-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1356-30.jpg","1"
"FT1357-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1357-20\FT1357场景.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1357-20.jpg","1"
"FT1358-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1358-20\FT1358场景.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1358-20.jpg","1"
"FT1359-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1359-20\FT1359场景.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1359-20.jpg","2"
"FT1360-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1360-20\FT1360场景.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1360-20.jpg","1"
"FT1361-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1361-30\场景.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1361-30.jpg","1"
"FT1362-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1362-30\场景.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1362-30.jpg","1"
"FT1363-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1363-30\场景.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1363-30.jpg","1"
"FT1364-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1364-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1364-30.jpg","2"
"FT1365-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1365-30\场景.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1365-30.jpg","1"
"FT1366-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1366-30\场景.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1366-30.jpg","1"
"FT1367","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1367\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1367.jpg","1"
"FT1368","no_scene_image_filename","","","0"
"FT1369-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1369-20\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1369-20.jpg","4"
